ws-2,ws-1,ws,ws+1,wd-2,wd-1,wd,wd+1,hour_from_06,week,month,production
4.27,3.65,3.19,2.9,124.75,125.63,129.29,135.14,3,27,7,0.109
3.65,3.19,2.9,2.72,125.63,129.29,135.14,140.85,2,27,7,0.079
3.19,2.9,2.72,2.57,129.29,135.14,140.85,143.52,1,27,7,0.099
2.9,2.72,2.57,2.38,135.14,140.85,143.52,141.17,0,27,7,0.069
2.72,2.57,2.38,2.24,140.85,143.52,141.17,136.2,1,27,7,0
2.57,2.38,2.24,2.25,143.52,141.17,136.2,133.67,2,27,7,0
2.38,2.24,2.25,2.43,141.17,136.2,133.67,137.08,3,27,7,0
2.24,2.25,2.43,2.66,136.2,133.67,137.08,142.1,4,27,7,0
2.25,2.43,2.66,2.74,133.67,137.08,142.1,144.79,5,27,7,0
2.43,2.66,2.74,2.57,137.08,142.1,144.79,133,6,27,7,0
2.66,2.74,2.57,2.7,142.1,144.79,133,125.58,7,27,7,0
2.74,2.57,2.7,2.75,144.79,133,125.58,122.93,8,27,7,0
2.57,2.7,2.75,2.71,133,125.58,122.93,123.33,9,27,7,0
2.7,2.75,2.71,2.62,125.58,122.93,123.33,124.92,10,27,7,0
2.75,2.71,2.62,2.53,122.93,123.33,124.92,125.58,11,27,7,0
2.71,2.62,2.53,2.45,123.33,124.92,125.58,123.89,12,27,7,0
2.62,2.53,2.45,2.42,124.92,125.58,123.89,122.82,11,27,7,0
2.53,2.45,2.42,2.43,125.58,123.89,122.82,126.58,10,27,7,0
2.45,2.42,2.43,2.52,123.89,122.82,126.58,137.32,9,27,7,0
2.42,2.43,2.52,2.65,122.82,126.58,137.32,150.95,8,27,7,0
2.43,2.52,2.65,2.64,126.58,137.32,150.95,165.27,7,27,7,0
2.52,2.65,2.64,2.01,137.32,150.95,165.27,149.66,6,27,7,0
2.65,2.64,2.01,1.76,150.95,165.27,149.66,155.87,5,27,7,0.01
2.64,2.01,1.76,1.46,165.27,149.66,155.87,158.95,4,27,7,0.02
2.01,1.76,1.46,1.16,149.66,155.87,158.95,158.03,3,27,7,0.02
1.76,1.46,1.16,0.98,155.87,158.95,158.03,150.93,2,27,7,0
1.46,1.16,0.98,1.06,158.95,158.03,150.93,139.94,1,27,7,0
1.16,0.98,1.06,1.45,158.03,150.93,139.94,133.68,0,27,7,0
0.98,1.06,1.45,1.98,150.93,139.94,133.68,132.36,1,27,7,0
1.06,1.45,1.98,2.47,139.94,133.68,132.36,133.13,2,27,7,0
1.45,1.98,2.47,2.76,133.68,132.36,133.13,135.11,3,27,7,0.02
1.98,2.47,2.76,2.91,132.36,133.13,135.11,138.64,4,27,7,0.049
2.47,2.76,2.91,3.05,133.13,135.11,138.64,144.07,5,27,7,0.04
2.76,2.91,3.05,3.74,135.11,138.64,144.07,165.39,6,27,7,0.059
2.91,3.05,3.74,3.88,138.64,144.07,165.39,160.14,7,27,7,0.079
3.05,3.74,3.88,3.91,144.07,165.39,160.14,150.03,8,27,7,0.079
3.74,3.88,3.91,4.03,165.39,160.14,150.03,137.24,9,27,7,0.099
3.88,3.91,4.03,4.35,160.14,150.03,137.24,125.69,10,27,7,0.099
3.91,4.03,4.35,4.76,150.03,137.24,125.69,118.69,11,27,7,0.099
4.03,4.35,4.76,5.13,137.24,125.69,118.69,117.12,12,27,7,0.099
4.35,4.76,5.13,5.39,125.69,118.69,117.12,118.93,11,27,7,0.178
4.76,5.13,5.39,5.52,118.69,117.12,118.93,122.23,10,27,7,0.247
5.13,5.39,5.52,5.52,117.12,118.93,122.23,125.79,9,27,7,0.178
5.39,5.52,5.52,5.37,118.93,122.23,125.79,129.12,8,27,7,0.237
5.52,5.52,5.37,5.08,122.23,125.79,129.12,131.85,7,27,7,0.366
5.52,5.37,5.08,5.4,125.79,129.12,131.85,127.64,6,27,7,0.415
5.37,5.08,5.4,4.96,129.12,131.85,127.64,128.33,5,27,7,0.267
5.08,5.4,4.96,4.82,131.85,127.64,128.33,131.25,4,27,7,0.138
