date,ws-2,ws-1,ws,ws+1,wd-2,wd-1,wd,wd+1,hour_from_06,week,month,production
2009-07-01 03:00:00,4.51,4.33,4.19,4.07,135.19,135.04,134.75,134.45,3,27,7,0.013000000000000001
2009-07-01 04:00:00,4.33,4.19,4.07,3.92,135.04,134.75,134.45,134.63,2,27,7,0.0
2009-07-01 05:00:00,4.19,4.07,3.92,3.69,134.75,134.45,134.63,136.0,1,27,7,0.013000000000000001
2009-07-01 06:00:00,4.07,3.92,3.69,3.38,134.45,134.63,136.0,139.06,0,27,7,0.079
2009-07-01 07:00:00,3.92,3.69,3.38,3.07,134.63,136.0,139.06,142.21,1,27,7,0.013000000000000001
2009-07-01 08:00:00,3.69,3.38,3.07,2.84,136.0,139.06,142.21,142.21,2,27,7,0.0
2009-07-01 09:00:00,3.38,3.07,2.84,2.76,139.06,142.21,142.21,136.34,3,27,7,0.0
2009-07-01 10:00:00,3.07,2.84,2.76,2.79,142.21,142.21,136.34,127.74,4,27,7,0.0
2009-07-01 11:00:00,2.84,2.76,2.79,2.78,142.21,136.34,127.74,120.39,5,27,7,0.0
2009-07-01 12:00:00,2.76,2.79,2.78,2.92,136.34,127.74,120.39,120.32,6,27,7,0.0
2009-07-01 13:00:00,2.79,2.78,2.92,2.94,127.74,120.39,120.32,120.34,7,27,7,0.0
2009-07-01 14:00:00,2.78,2.92,2.94,3.0,120.39,120.32,120.34,118.11,8,27,7,0.0
2009-07-01 15:00:00,2.92,2.94,3.0,3.06,120.32,120.34,118.11,114.87,9,27,7,0.0
2009-07-01 16:00:00,2.94,3.0,3.06,3.11,120.34,118.11,114.87,112.02,10,27,7,0.0
2009-07-01 17:00:00,3.0,3.06,3.11,3.08,118.11,114.87,112.02,110.86,11,27,7,0.0
2009-07-01 18:00:00,3.06,3.11,3.08,2.94,114.87,112.02,110.86,112.39,12,27,7,0.0
2009-07-01 19:00:00,3.11,3.08,2.94,2.68,112.02,110.86,112.39,116.33,11,27,7,0.013000000000000001
2009-07-01 20:00:00,3.08,2.94,2.68,2.3,110.86,112.39,116.33,122.53,10,27,7,0.013000000000000001
2009-07-01 21:00:00,2.94,2.68,2.3,1.82,112.39,116.33,122.53,131.68,9,27,7,0.026000000000000002
2009-07-01 22:00:00,2.68,2.3,1.82,1.33,116.33,122.53,131.68,145.49,8,27,7,0.013000000000000001
2009-07-01 23:00:00,2.3,1.82,1.33,0.95,122.53,131.68,145.49,164.42,7,27,7,0.013000000000000001
2009-07-02 00:00:00,1.82,1.33,0.95,1.4,131.68,145.49,164.42,173.43,6,27,7,0.0
2009-07-02 01:00:00,1.33,0.95,1.4,1.29,145.49,164.42,173.43,190.95,5,27,7,0.0
2009-07-02 02:00:00,0.95,1.4,1.29,1.04,164.42,173.43,190.95,195.78,4,27,7,0.0
2009-07-02 03:00:00,1.4,1.29,1.04,0.67,173.43,190.95,195.78,187.61,3,27,7,0.0
2009-07-02 04:00:00,1.29,1.04,0.67,0.41,190.95,195.78,187.61,157.96,2,27,7,0.0
2009-07-02 05:00:00,1.04,0.67,0.41,0.36,195.78,187.61,157.96,136.7,1,27,7,0.0
2009-07-02 06:00:00,0.67,0.41,0.36,0.4,187.61,157.96,136.7,171.5,0,27,7,0.0
2009-07-02 07:00:00,0.41,0.36,0.4,0.69,157.96,136.7,171.5,205.1,1,27,7,0.0
2009-07-02 08:00:00,0.36,0.4,0.69,0.98,136.7,171.5,205.1,219.43,2,27,7,0.0
2009-07-02 09:00:00,0.4,0.69,0.98,1.03,171.5,205.1,219.43,229.32,3,27,7,0.0
2009-07-02 10:00:00,0.69,0.98,1.03,0.88,205.1,219.43,229.32,233.26,4,27,7,0.0
2009-07-02 11:00:00,0.98,1.03,0.88,0.68,219.43,229.32,233.26,213.14,5,27,7,0.0
2009-07-02 12:00:00,1.03,0.88,0.68,2.13,229.32,233.26,213.14,130.15,6,27,7,0.0
2009-07-02 13:00:00,0.88,0.68,2.13,3.21,233.26,213.14,130.15,134.39,7,27,7,0.0
2009-07-02 14:00:00,0.68,2.13,3.21,3.78,213.14,130.15,134.39,135.48,8,27,7,0.0
2009-07-02 15:00:00,2.13,3.21,3.78,3.96,130.15,134.39,135.48,135.58,9,27,7,0.013000000000000001
2009-07-02 16:00:00,3.21,3.78,3.96,3.94,134.39,135.48,135.58,135.27,10,27,7,0.039
2009-07-02 17:00:00,3.78,3.96,3.94,3.89,135.48,135.58,135.27,134.92,11,27,7,0.053
2009-07-02 18:00:00,3.96,3.94,3.89,3.95,135.58,135.27,134.92,134.89,12,27,7,0.039
2009-07-02 19:00:00,3.94,3.89,3.95,4.05,135.27,134.92,134.89,135.2,11,27,7,0.053
2009-07-02 20:00:00,3.89,3.95,4.05,4.08,134.92,134.89,135.2,135.82,10,27,7,0.092
2009-07-02 21:00:00,3.95,4.05,4.08,3.95,134.89,135.2,135.82,136.65,9,27,7,0.079
2009-07-02 22:00:00,4.05,4.08,3.95,3.69,135.2,135.82,136.65,137.07,8,27,7,0.053
2009-07-02 23:00:00,4.08,3.95,3.69,3.35,135.82,136.65,137.07,136.04,7,27,7,0.053
2009-07-03 00:00:00,3.95,3.69,3.35,3.04,136.65,137.07,136.04,125.96,6,27,7,0.026000000000000002
2009-07-03 01:00:00,3.69,3.35,3.04,3.01,137.07,136.04,125.96,119.35,5,27,7,0.013000000000000001
2009-07-03 02:00:00,3.35,3.04,3.01,3.57,136.04,125.96,119.35,120.37,4,27,7,0.0
2009-07-03 03:00:00,3.04,3.01,3.57,4.49,125.96,119.35,120.37,124.45,3,27,7,0.0
2009-07-03 04:00:00,3.01,3.57,4.49,5.5,119.35,120.37,124.45,127.83,2,27,7,0.013000000000000001
2009-07-03 05:00:00,3.57,4.49,5.5,6.23,120.37,124.45,127.83,129.36,1,27,7,0.039
2009-07-03 06:00:00,4.49,5.5,6.23,6.45,124.45,127.83,129.36,128.99,0,27,7,0.447
2009-07-03 07:00:00,5.5,6.23,6.45,6.32,127.83,129.36,128.99,127.93,1,27,7,0.526
2009-07-03 08:00:00,6.23,6.45,6.32,6.13,129.36,128.99,127.93,127.7,2,27,7,0.382
2009-07-03 09:00:00,6.45,6.32,6.13,6.11,128.99,127.93,127.7,129.56,3,27,7,0.342
2009-07-03 10:00:00,6.32,6.13,6.11,6.25,127.93,127.7,129.56,132.64,4,27,7,0.316
2009-07-03 11:00:00,6.13,6.11,6.25,6.47,127.7,129.56,132.64,135.6,5,27,7,0.158
2009-07-03 12:00:00,6.11,6.25,6.47,6.86,129.56,132.64,135.6,135.81,6,27,7,0.145
2009-07-03 13:00:00,6.25,6.47,6.86,7.12,132.64,135.6,135.81,134.39,7,27,7,0.158
2009-07-03 14:00:00,6.47,6.86,7.12,7.2,135.6,135.81,134.39,133.94,8,27,7,0.132
2009-07-03 15:00:00,6.86,7.12,7.2,7.14,135.81,134.39,133.94,134.33,9,27,7,0.184
2009-07-03 16:00:00,7.12,7.2,7.14,6.98,134.39,133.94,134.33,135.61,10,27,7,0.32899999999999996
2009-07-03 17:00:00,7.2,7.14,6.98,6.81,133.94,134.33,135.61,137.93,11,27,7,0.32899999999999996
2009-07-03 18:00:00,7.14,6.98,6.81,6.67,134.33,135.61,137.93,141.25,12,27,7,0.25
2009-07-03 19:00:00,6.98,6.81,6.67,6.54,135.61,137.93,141.25,145.0,11,27,7,0.237
2009-07-03 20:00:00,6.81,6.67,6.54,6.36,137.93,141.25,145.0,148.5,10,27,7,0.237
2009-07-03 21:00:00,6.67,6.54,6.36,6.09,141.25,145.0,148.5,151.26,9,27,7,0.237
2009-07-03 22:00:00,6.54,6.36,6.09,5.81,145.0,148.5,151.26,153.15,8,27,7,0.21100000000000002
2009-07-03 23:00:00,6.36,6.09,5.81,5.62,148.5,151.26,153.15,153.97,7,27,7,0.21100000000000002
2009-07-04 00:00:00,6.09,5.81,5.62,4.16,151.26,153.15,153.97,150.47,6,27,7,0.079
2009-07-04 01:00:00,5.81,5.62,4.16,3.95,153.15,153.97,150.47,149.86,5,27,7,0.092
2009-07-04 02:00:00,5.62,4.16,3.95,4.01,153.97,150.47,149.86,147.72,4,27,7,0.079
2009-07-04 03:00:00,4.16,3.95,4.01,4.26,150.47,149.86,147.72,144.86,3,27,7,0.066
2009-07-04 04:00:00,3.95,4.01,4.26,4.53,149.86,147.72,144.86,142.07,2,27,7,0.053
2009-07-04 05:00:00,4.01,4.26,4.53,4.66,147.72,144.86,142.07,139.6,1,27,7,0.382
2009-07-04 06:00:00,4.26,4.53,4.66,4.52,144.86,142.07,139.6,137.34,0,27,7,0.368
2009-07-04 07:00:00,4.53,4.66,4.52,4.3,142.07,139.6,137.34,135.17,1,27,7,0.184
2009-07-04 08:00:00,4.66,4.52,4.3,4.26,139.6,137.34,135.17,133.45,2,27,7,0.092
2009-07-04 09:00:00,4.52,4.3,4.26,4.53,137.34,135.17,133.45,132.67,3,27,7,0.105
2009-07-04 10:00:00,4.3,4.26,4.53,4.94,135.17,133.45,132.67,132.58,4,27,7,0.105
2009-07-04 11:00:00,4.26,4.53,4.94,5.22,133.45,132.67,132.58,132.64,5,27,7,0.079
2009-07-04 12:00:00,4.53,4.94,5.22,5.61,132.67,132.58,132.64,145.21,6,27,7,0.092
2009-07-04 13:00:00,4.94,5.22,5.61,5.31,132.58,132.64,145.21,141.17,7,27,7,0.079
2009-07-04 14:00:00,5.22,5.61,5.31,5.03,132.64,145.21,141.17,137.1,8,27,7,0.039
