ws-2,ws-1,ws,ws+1,wd-2,wd-1,wd,wd+1,hour_from_06,week,month,production
2.47,2.4,2.51,2.73,108.68,114.31,118.71,120.86,3,27,7,0.06
2.4,2.51,2.73,2.93,114.31,118.71,120.86,120.13,2,27,7,0.045
2.51,2.73,2.93,2.96,118.71,120.86,120.13,115.79,1,27,7,0.035
2.73,2.93,2.96,2.81,120.86,120.13,115.79,106.71,0,27,7,0.005
2.93,2.96,2.81,2.73,120.13,115.79,106.71,95.39,1,27,7,0.0
2.96,2.81,2.73,2.87,115.79,106.71,95.39,88.5,2,27,7,0.0
2.81,2.73,2.87,3.23,106.71,95.39,88.5,90.19,3,27,7,0.01
2.73,2.87,3.23,3.66,95.39,88.5,90.19,95.15,4,27,7,0.025
2.87,3.23,3.66,3.94,88.5,90.19,95.15,98.71,5,27,7,0.03
3.23,3.66,3.94,2.85,90.19,95.15,98.71,103.17,6,27,7,0.01
3.66,3.94,2.85,3.2,95.15,98.71,103.17,103.36,7,27,7,0.0
3.94,2.85,3.2,3.35,98.71,103.17,103.36,100.63,8,27,7,0.01
2.85,3.2,3.35,3.33,103.17,103.36,100.63,96.42,9,27,7,0.0
3.2,3.35,3.33,3.17,103.36,100.63,96.42,92.38,10,27,7,0.0
3.35,3.33,3.17,2.88,100.63,96.42,92.38,90.73,11,27,7,0.0
3.33,3.17,2.88,2.46,96.42,92.38,90.73,94.09,12,27,7,0.005
3.17,2.88,2.46,2.01,92.38,90.73,94.09,102.78,13,27,7,0.0
2.88,2.46,2.01,1.67,90.73,94.09,102.78,114.58,14,27,7,0.0
2.46,2.01,1.67,1.44,94.09,102.78,114.58,124.63,15,27,7,0.0
2.01,1.67,1.44,1.22,102.78,114.58,124.63,135.16,16,27,7,0.005
1.67,1.44,1.22,1.04,114.58,124.63,135.16,155.24,17,27,7,0.015
1.44,1.22,1.04,1.27,124.63,135.16,155.24,147.93,6,27,7,0.0
1.22,1.04,1.27,1.59,135.16,155.24,147.93,163.36,5,27,7,0.0
1.04,1.27,1.59,1.46,155.24,147.93,163.36,175.48,4,27,7,0.01
1.27,1.59,1.46,1.1,147.93,163.36,175.48,194.13,3,27,7,0.01
1.59,1.46,1.1,0.81,163.36,175.48,194.13,223.94,2,27,7,0.0
1.46,1.1,0.81,0.68,175.48,194.13,223.94,246.61,1,27,7,0.0
1.1,0.81,0.68,0.49,194.13,223.94,246.61,231.76,0,27,7,0.0
0.81,0.68,0.49,0.57,223.94,246.61,231.76,184.5,1,27,7,0.0
0.68,0.49,0.57,0.88,246.61,231.76,184.5,172.7,2,27,7,0.0
0.49,0.57,0.88,1.08,231.76,184.5,172.7,185.05,3,27,7,0.015
0.57,0.88,1.08,1.28,184.5,172.7,185.05,199.95,4,27,7,0.03
0.88,1.08,1.28,1.44,172.7,185.05,199.95,203.82,5,27,7,0.01
1.08,1.28,1.44,2.22,185.05,199.95,203.82,169.75,6,27,7,0.0
1.28,1.44,2.22,2.4,199.95,203.82,169.75,162.17,7,27,7,0.0
