date,ws-2,ws-1,ws,ws+1,wd-2,wd-1,wd,wd+1,hour_from_06,week,month,production
2009-07-01 03:00:00,2.47,2.4,2.51,2.73,108.68,114.31,118.71,120.86,3,27,7,0.06
2009-07-01 04:00:00,2.4,2.51,2.73,2.93,114.31,118.71,120.86,120.13,2,27,7,0.045
2009-07-01 05:00:00,2.51,2.73,2.93,2.96,118.71,120.86,120.13,115.79,1,27,7,0.035
2009-07-01 06:00:00,2.73,2.93,2.96,2.81,120.86,120.13,115.79,106.71,0,27,7,0.005
2009-07-01 07:00:00,2.93,2.96,2.81,2.73,120.13,115.79,106.71,95.39,1,27,7,0.0
2009-07-01 08:00:00,2.96,2.81,2.73,2.87,115.79,106.71,95.39,88.5,2,27,7,0.0
2009-07-01 09:00:00,2.81,2.73,2.87,3.23,106.71,95.39,88.5,90.19,3,27,7,0.01
2009-07-01 10:00:00,2.73,2.87,3.23,3.66,95.39,88.5,90.19,95.15,4,27,7,0.025
2009-07-01 11:00:00,2.87,3.23,3.66,3.94,88.5,90.19,95.15,98.71,5,27,7,0.03
2009-07-01 12:00:00,3.23,3.66,3.94,2.85,90.19,95.15,98.71,103.17,6,27,7,0.01
2009-07-01 13:00:00,3.66,3.94,2.85,3.2,95.15,98.71,103.17,103.36,7,27,7,0.0
2009-07-01 14:00:00,3.94,2.85,3.2,3.35,98.71,103.17,103.36,100.63,8,27,7,0.01
2009-07-01 15:00:00,2.85,3.2,3.35,3.33,103.17,103.36,100.63,96.42,9,27,7,0.0
2009-07-01 16:00:00,3.2,3.35,3.33,3.17,103.36,100.63,96.42,92.38,10,27,7,0.0
2009-07-01 17:00:00,3.35,3.33,3.17,2.88,100.63,96.42,92.38,90.73,11,27,7,0.0
2009-07-01 18:00:00,3.33,3.17,2.88,2.46,96.42,92.38,90.73,94.09,12,27,7,0.005
2009-07-01 19:00:00,3.17,2.88,2.46,2.01,92.38,90.73,94.09,102.78,11,27,7,0.0
2009-07-01 20:00:00,2.88,2.46,2.01,1.67,90.73,94.09,102.78,114.58,10,27,7,0.0
2009-07-01 21:00:00,2.46,2.01,1.67,1.44,94.09,102.78,114.58,124.63,9,27,7,0.0
2009-07-01 22:00:00,2.01,1.67,1.44,1.22,102.78,114.58,124.63,135.16,8,27,7,0.005
2009-07-01 23:00:00,1.67,1.44,1.22,1.04,114.58,124.63,135.16,155.24,7,27,7,0.015
2009-07-02 00:00:00,1.44,1.22,1.04,1.27,124.63,135.16,155.24,147.93,6,27,7,0.0
2009-07-02 01:00:00,1.22,1.04,1.27,1.59,135.16,155.24,147.93,163.36,5,27,7,0.0
2009-07-02 02:00:00,1.04,1.27,1.59,1.46,155.24,147.93,163.36,175.48,4,27,7,0.01
2009-07-02 03:00:00,1.27,1.59,1.46,1.1,147.93,163.36,175.48,194.13,3,27,7,0.01
2009-07-02 04:00:00,1.59,1.46,1.1,0.81,163.36,175.48,194.13,223.94,2,27,7,0.0
2009-07-02 05:00:00,1.46,1.1,0.81,0.68,175.48,194.13,223.94,246.61,1,27,7,0.0
2009-07-02 06:00:00,1.1,0.81,0.68,0.49,194.13,223.94,246.61,231.76,0,27,7,0.0
2009-07-02 07:00:00,0.81,0.68,0.49,0.57,223.94,246.61,231.76,184.5,1,27,7,0.0
2009-07-02 08:00:00,0.68,0.49,0.57,0.88,246.61,231.76,184.5,172.7,2,27,7,0.0
2009-07-02 09:00:00,0.49,0.57,0.88,1.08,231.76,184.5,172.7,185.05,3,27,7,0.015
2009-07-02 10:00:00,0.57,0.88,1.08,1.28,184.5,172.7,185.05,199.95,4,27,7,0.03
2009-07-02 11:00:00,0.88,1.08,1.28,1.44,172.7,185.05,199.95,203.82,5,27,7,0.01
2009-07-02 12:00:00,1.08,1.28,1.44,2.22,185.05,199.95,203.82,169.75,6,27,7,0.0
2009-07-02 13:00:00,1.28,1.44,2.22,2.4,199.95,203.82,169.75,162.17,7,27,7,0.0
2009-07-02 14:00:00,1.44,2.22,2.4,2.52,203.82,169.75,162.17,158.7,8,27,7,0.0
2009-07-02 15:00:00,2.22,2.4,2.52,2.57,169.75,162.17,158.7,157.24,9,27,7,0.0
2009-07-02 16:00:00,2.4,2.52,2.57,2.63,162.17,158.7,157.24,156.03,10,27,7,0.01
2009-07-02 17:00:00,2.52,2.57,2.63,2.76,158.7,157.24,156.03,153.58,11,27,7,0.01
2009-07-02 18:00:00,2.57,2.63,2.76,3.04,157.24,156.03,153.58,149.37,12,27,7,0.01
2009-07-02 19:00:00,2.63,2.76,3.04,3.39,156.03,153.58,149.37,144.51,11,27,7,0.01
2009-07-02 20:00:00,2.76,3.04,3.39,3.69,153.58,149.37,144.51,139.6,10,27,7,0.01
2009-07-02 21:00:00,3.04,3.39,3.69,3.85,149.37,144.51,139.6,134.69,9,27,7,0.08
2009-07-02 22:00:00,3.39,3.69,3.85,3.83,144.51,139.6,134.69,130.17,8,27,7,0.025
2009-07-02 23:00:00,3.69,3.85,3.83,3.62,139.6,134.69,130.17,126.63,7,27,7,0.08
2009-07-03 00:00:00,3.85,3.83,3.62,2.97,134.69,130.17,126.63,136.14,6,27,7,0.201
2009-07-03 01:00:00,3.83,3.62,2.97,2.86,130.17,126.63,136.14,132.13,5,27,7,0.12
2009-07-03 02:00:00,3.62,2.97,2.86,2.93,126.63,136.14,132.13,125.85,4,27,7,0.035
2009-07-03 03:00:00,2.97,2.86,2.93,3.14,136.14,132.13,125.85,119.18,3,27,7,0.05
2009-07-03 04:00:00,2.86,2.93,3.14,3.41,132.13,125.85,119.18,113.51,2,27,7,0.08
2009-07-03 05:00:00,2.93,3.14,3.41,3.63,125.85,119.18,113.51,109.2,1,27,7,0.065
2009-07-03 06:00:00,3.14,3.41,3.63,3.72,119.18,113.51,109.2,106.16,0,27,7,0.14
2009-07-03 07:00:00,3.41,3.63,3.72,3.77,113.51,109.2,106.16,104.81,1,27,7,0.08
2009-07-03 08:00:00,3.63,3.72,3.77,3.95,109.2,106.16,104.81,105.91,2,27,7,0.055
2009-07-03 09:00:00,3.72,3.77,3.95,4.35,106.16,104.81,105.91,109.48,3,27,7,0.025
2009-07-03 10:00:00,3.77,3.95,4.35,4.87,104.81,105.91,109.48,114.04,4,27,7,0.04
2009-07-03 11:00:00,3.95,4.35,4.87,5.37,105.91,109.48,114.04,118.64,5,27,7,0.1
2009-07-03 12:00:00,4.35,4.87,5.37,4.74,109.48,114.04,118.64,128.18,6,27,7,0.175
2009-07-03 13:00:00,4.87,5.37,4.74,5.3,114.04,118.64,128.18,132.5,7,27,7,0.13
2009-07-03 14:00:00,5.37,4.74,5.3,5.97,118.64,128.18,132.5,132.24,8,27,7,0.095
2009-07-03 15:00:00,4.74,5.3,5.97,6.66,128.18,132.5,132.24,129.64,9,27,7,0.095
2009-07-03 16:00:00,5.3,5.97,6.66,7.26,132.5,132.24,129.64,126.24,10,27,7,0.19
2009-07-03 17:00:00,5.97,6.66,7.26,7.62,132.24,129.64,126.24,122.86,11,27,7,0.221
2009-07-03 18:00:00,6.66,7.26,7.62,7.67,129.64,126.24,122.86,119.83,12,27,7,0.226
2009-07-03 19:00:00,7.26,7.62,7.67,7.52,126.24,122.86,119.83,117.26,11,27,7,0.301
2009-07-03 20:00:00,7.62,7.67,7.52,7.35,122.86,119.83,117.26,115.55,10,27,7,0.42100000000000004
2009-07-03 21:00:00,7.67,7.52,7.35,7.28,119.83,117.26,115.55,115.09,9,27,7,0.486
2009-07-03 22:00:00,7.52,7.35,7.28,7.17,117.26,115.55,115.09,115.46,8,27,7,0.47600000000000003
2009-07-03 23:00:00,7.35,7.28,7.17,6.81,115.55,115.09,115.46,116.0,7,27,7,0.47600000000000003
2009-07-04 00:00:00,7.28,7.17,6.81,5.91,115.09,115.46,116.0,112.45,6,27,7,0.521
2009-07-04 01:00:00,7.17,6.81,5.91,5.38,115.46,116.0,112.45,115.22,5,27,7,0.47600000000000003
2009-07-04 02:00:00,6.81,5.91,5.38,4.89,116.0,112.45,115.22,116.34,4,27,7,0.501
2009-07-04 03:00:00,5.91,5.38,4.89,4.45,112.45,115.22,116.34,116.08,3,27,7,0.662
2009-07-04 04:00:00,5.38,4.89,4.45,4.06,115.22,116.34,116.08,115.24,2,27,7,0.747
2009-07-04 05:00:00,4.89,4.45,4.06,3.7,116.34,116.08,115.24,115.13,1,27,7,0.622
