date,ws-2,ws-1,ws,ws+1,wd-2,wd-1,wd,wd+1,hour_from_06,week,month,production
01-07-09 03:00,3.81,3.68,3.66,3.7,124.27,121.07,120.49,121.62,3,27,7,0.022
01-07-09 04:00,3.68,3.66,3.7,3.72,121.07,120.49,121.62,123.22,2,27,7,0.039
01-07-09 05:00,3.66,3.7,3.72,3.66,120.49,121.62,123.22,124.11,1,27,7,0.066
01-07-09 06:00,3.7,3.72,3.66,3.45,121.62,123.22,124.11,123.27,0,27,7,0.105
01-07-09 07:00,3.72,3.66,3.45,3.2,123.22,124.11,123.27,120.18,1,27,7,0.017
01-07-09 08:00,3.66,3.45,3.2,3.09,124.11,123.27,120.18,114.74,2,27,7,0.017
01-07-09 09:00,3.45,3.2,3.09,3.21,123.27,120.18,114.74,108.32,3,27,7,0.006
01-07-09 10:00,3.2,3.09,3.21,3.44,120.18,114.74,108.32,103.38,4,27,7,0
01-07-09 11:00,3.09,3.21,3.44,3.55,114.74,108.32,103.38,100.95,5,27,7,0
01-07-09 12:00,3.21,3.44,3.55,3.48,108.32,103.38,100.95,105.02,6,27,7,0
01-07-09 13:00,3.44,3.55,3.48,3.45,103.38,100.95,105.02,107.7,7,27,7,0
01-07-09 14:00,3.55,3.48,3.45,3.51,100.95,105.02,107.7,106.52,8,27,7,0
01-07-09 15:00,3.48,3.45,3.51,3.63,105.02,107.7,106.52,103.17,9,27,7,0
01-07-09 16:00,3.45,3.51,3.63,3.73,107.7,106.52,103.17,99.81,10,27,7,0
01-07-09 17:00,3.51,3.63,3.73,3.76,106.52,103.17,99.81,98.26,11,27,7,0
01-07-09 18:00,3.63,3.73,3.76,3.64,103.17,99.81,98.26,99.74,12,27,7,0
01-07-09 19:00,3.73,3.76,3.64,3.37,99.81,98.26,99.74,103.61,13,27,7,0.017
01-07-09 20:00,3.76,3.64,3.37,2.96,98.26,99.74,103.61,108.99,14,27,7,0.05
01-07-09 21:00,3.64,3.37,2.96,2.44,99.74,103.61,108.99,115.54,15,27,7,0.033
01-07-09 22:00,3.37,2.96,2.44,1.87,103.61,108.99,115.54,125.52,16,27,7,0.044
01-07-09 23:00,2.96,2.44,1.87,1.38,108.99,115.54,125.52,144.12,17,27,7,0
02-07-09 00:00,2.44,1.87,1.38,1.39,115.54,125.52,144.12,168.73,6,27,7,0
02-07-09 01:00,1.87,1.38,1.39,1.33,125.52,144.12,168.73,185.11,5,27,7,0
02-07-09 02:00,1.38,1.39,1.33,1.27,144.12,168.73,185.11,188.54,4,27,7,0
02-07-09 03:00,1.39,1.33,1.27,1.15,168.73,185.11,188.54,182.96,3,27,7,0
02-07-09 04:00,1.33,1.27,1.15,1.04,185.11,188.54,182.96,175.2,2,27,7,0
02-07-09 05:00,1.27,1.15,1.04,0.93,188.54,182.96,175.2,176.46,1,27,7,0
02-07-09 06:00,1.15,1.04,0.93,0.88,182.96,175.2,176.46,198.07,0,27,7,0
02-07-09 07:00,1.04,0.93,0.88,1.06,175.2,176.46,198.07,224.51,1,27,7,0
02-07-09 08:00,0.93,0.88,1.06,1.3,176.46,198.07,224.51,238.75,2,27,7,0
02-07-09 09:00,0.88,1.06,1.3,1.35,198.07,224.51,238.75,243.28,3,27,7,0
02-07-09 10:00,1.06,1.3,1.35,1.19,224.51,238.75,243.28,239.6,4,27,7,0
02-07-09 11:00,1.3,1.35,1.19,0.94,238.75,243.28,239.6,220.41,5,27,7,0
02-07-09 12:00,1.35,1.19,0.94,1.28,243.28,239.6,220.41,163.21,6,27,7,0
